"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 09:44:18 IST 2023","Wed Dec 27 09:44:24 IST 2023","5385","","Suite04","","","","Print Statement Test",""
"broken","Wed Dec 27 09:43:38 IST 2023","Wed Dec 27 09:43:43 IST 2023","5061","","Suite Name","","","","TestScriptName",""
"passed","Tue Dec 26 17:37:17 IST 2023","Tue Dec 26 17:37:39 IST 2023","21508","","Orange HRM Login Page","","","","Name",""
"passed","Wed Dec 27 09:42:48 IST 2023","Wed Dec 27 09:42:53 IST 2023","5646","","Suite01","","","","Handling Frames",""
"broken","Wed Dec 27 09:39:12 IST 2023","Wed Dec 27 09:39:16 IST 2023","4383","","Bixi_Suite03","","","","Apply For New Bank Account",""
"passed","Wed Dec 27 09:42:01 IST 2023","Wed Dec 27 09:42:06 IST 2023","5104","","Build01","","","","Check",""
"passed","Wed Dec 27 09:43:48 IST 2023","Wed Dec 27 09:43:57 IST 2023","9144","","BuildB03","","","","Apply For Debit card and fetch Debit Card Details",""
"passed","Wed Dec 27 09:42:10 IST 2023","Wed Dec 27 09:42:44 IST 2023","34146","","Build01","","","","Add & Remove the product from the cart",""
"passed","Wed Dec 27 09:44:28 IST 2023","Wed Dec 27 09:44:33 IST 2023","4075","","BuildBO1","","","","Staff Login Page",""
"broken","Wed Dec 27 10:11:08 IST 2023","Wed Dec 27 10:11:11 IST 2023","3083","","Bixi_Suite03","","","","Apply For New Bank Account",""
"passed","Wed Dec 27 09:44:09 IST 2023","Wed Dec 27 09:44:14 IST 2023","5200","","BuildB02","","","","Internet Login Negative Test",""
"broken","Wed Dec 27 09:43:16 IST 2023","Wed Dec 27 09:43:34 IST 2023","18768","","Suite01","","","","Login Test",""
"passed","Wed Dec 27 09:42:58 IST 2023","Wed Dec 27 09:43:11 IST 2023","13189","","Orange HRM Login Page","","","","Name",""
